,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,track_name,artist_name
7771,0.544,0.24100000000000002,4,-14.779000000000002,0,0.03,0.983,0.774,0.10099999999999999,0.359,109.43700000000001,audio_features,3Y4rUyw7XBCK6hGHCOt6rp,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/tracks/3Y4rUyw7XBCK6hGHCOt6rp,https://api.spotify.com/v1/audio-analysis/3Y4rUyw7XBCK6hGHCOt6rp,204773,4,69,"Call It Fate, Call It Karma",The Strokes
7772,0.747,0.937,0,-5.746,1,0.0453,0.0208,0.0,0.29,0.7390000000000001,103.976,audio_features,3bC1ahPIYt1btJzSSEyyrF,spotify:track:3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/tracks/3bC1ahPIYt1btJzSSEyyrF,https://api.spotify.com/v1/audio-analysis/3bC1ahPIYt1btJzSSEyyrF,224653,4,79,Whistle,Flo Rida
7773,0.268,0.3,7,-12.078,1,0.0323,0.20800000000000002,0.000106,0.0999,0.0709,128.403,audio_features,5MkwL6YjNgF4gzwIJTUtWu,spotify:track:5MkwL6YjNgF4gzwIJTUtWu,https://api.spotify.com/v1/tracks/5MkwL6YjNgF4gzwIJTUtWu,https://api.spotify.com/v1/audio-analysis/5MkwL6YjNgF4gzwIJTUtWu,304747,3,0,Release,Pearl Jam
7774,0.775,0.785,7,-3.503,0,0.0411,0.00247,0.0,0.0669,0.963,130.02700000000002,audio_features,3LEBulRQI5hHe2TUKKswUf,spotify:track:3LEBulRQI5hHe2TUKKswUf,https://api.spotify.com/v1/tracks/3LEBulRQI5hHe2TUKKswUf,https://api.spotify.com/v1/audio-analysis/3LEBulRQI5hHe2TUKKswUf,214665,4,54,Me Without You,tobyMac
7775,0.799,0.5720000000000001,10,-7.2379999999999995,0,0.35700000000000004,0.264,0.0,0.06,0.828,77.751,audio_features,2Mw8xQJpIDAgrktDXEqxCs,spotify:track:2Mw8xQJpIDAgrktDXEqxCs,https://api.spotify.com/v1/tracks/2Mw8xQJpIDAgrktDXEqxCs,https://api.spotify.com/v1/audio-analysis/2Mw8xQJpIDAgrktDXEqxCs,198160,4,51,"Get Up, Stand Up",The Wailers
7776,0.502,0.904,0,-4.01,1,0.0774,0.0886,0.0,0.0839,0.868,84.461,audio_features,5JkTN6THtYH6bpOoHjOysc,spotify:track:5JkTN6THtYH6bpOoHjOysc,https://api.spotify.com/v1/tracks/5JkTN6THtYH6bpOoHjOysc,https://api.spotify.com/v1/audio-analysis/5JkTN6THtYH6bpOoHjOysc,245173,4,62,Foundations - Full Version,Kate Nash
7777,0.621,0.8809999999999999,0,-3.872,1,0.0295,0.0433,0.0,0.401,0.622,104.975,audio_features,5mYLVplVjmd1GMe2oAhr9O,spotify:track:5mYLVplVjmd1GMe2oAhr9O,https://api.spotify.com/v1/tracks/5mYLVplVjmd1GMe2oAhr9O,https://api.spotify.com/v1/audio-analysis/5mYLVplVjmd1GMe2oAhr9O,215946,4,49,Steal My Show,tobyMac
7778,0.43799999999999994,0.475,3,-7.9239999999999995,1,0.0269,0.355,7.6e-06,0.127,0.35200000000000004,62.879,audio_features,6ZkMj4L3wLeUl29LiiMyOH,spotify:track:6ZkMj4L3wLeUl29LiiMyOH,https://api.spotify.com/v1/tracks/6ZkMj4L3wLeUl29LiiMyOH,https://api.spotify.com/v1/audio-analysis/6ZkMj4L3wLeUl29LiiMyOH,261107,4,0,Tell Me A Story,Phillip Phillips
7779,0.675,0.807,7,-4.368,1,0.0261,0.0216,0.0,0.13,0.608,104.01100000000001,audio_features,0339geBQ7E43FuEyDlO3td,spotify:track:0339geBQ7E43FuEyDlO3td,https://api.spotify.com/v1/tracks/0339geBQ7E43FuEyDlO3td,https://api.spotify.com/v1/audio-analysis/0339geBQ7E43FuEyDlO3td,196600,4,0,Get Up Get Down,Phillip Phillips
7780,0.198,0.63,5,-6.404,1,0.0321,0.00282,0.000333,0.0954,0.247,75.316,audio_features,6ok4ldjco9ya7xFPgk4Sm6,spotify:track:6ok4ldjco9ya7xFPgk4Sm6,https://api.spotify.com/v1/tracks/6ok4ldjco9ya7xFPgk4Sm6,https://api.spotify.com/v1/audio-analysis/6ok4ldjco9ya7xFPgk4Sm6,251413,4,0,Hold On,Phillip Phillips
7781,0.498,0.804,11,-3.995,1,0.0332,0.125,0.0,0.16699999999999998,0.6970000000000001,166.054,audio_features,7px4t7HGiuMUvFkEOpZEwp,spotify:track:7px4t7HGiuMUvFkEOpZEwp,https://api.spotify.com/v1/tracks/7px4t7HGiuMUvFkEOpZEwp,https://api.spotify.com/v1/audio-analysis/7px4t7HGiuMUvFkEOpZEwp,191827,4,62,Song for Another Time,Old Dominion
7782,0.618,0.731,7,-5.181,1,0.0321,0.0714,5.05e-05,0.42100000000000004,0.35200000000000004,116.008,audio_features,6eJBihAzTWRxvvjJWuRQXM,spotify:track:6eJBihAzTWRxvvjJWuRQXM,https://api.spotify.com/v1/tracks/6eJBihAzTWRxvvjJWuRQXM,https://api.spotify.com/v1/audio-analysis/6eJBihAzTWRxvvjJWuRQXM,263800,4,53,Go Ahead and Break My Heart (feat. Gwen Stefani),Blake Shelton
7783,0.552,0.893,0,-4.593,1,0.0383,0.0158,0.0,0.105,0.777,163.94799999999998,audio_features,5sjIhQzNljMVrDklI91ezp,spotify:track:5sjIhQzNljMVrDklI91ezp,https://api.spotify.com/v1/tracks/5sjIhQzNljMVrDklI91ezp,https://api.spotify.com/v1/audio-analysis/5sjIhQzNljMVrDklI91ezp,189467,4,62,A Guy With a Girl,Blake Shelton
7784,0.456,0.865,1,-4.227,1,0.0316,0.0843,0.000512,0.10800000000000001,0.363,151.97799999999998,audio_features,5ygp81TQpolYKghQjdYZpD,spotify:track:5ygp81TQpolYKghQjdYZpD,https://api.spotify.com/v1/tracks/5ygp81TQpolYKghQjdYZpD,https://api.spotify.com/v1/audio-analysis/5ygp81TQpolYKghQjdYZpD,221080,4,45,Bumpin' The Night,Florida Georgia Line
7785,0.5710000000000001,0.903,1,-4.101,1,0.0538,0.000808,0.0,0.292,0.738,128.011,audio_features,6hOHH3nj5VI7IskIUic0WQ,spotify:track:6hOHH3nj5VI7IskIUic0WQ,https://api.spotify.com/v1/tracks/6hOHH3nj5VI7IskIUic0WQ,https://api.spotify.com/v1/audio-analysis/6hOHH3nj5VI7IskIUic0WQ,223971,4,4,Yesterday's Song,Hunter Hayes
